airline,flight_number,origin,destination,travel_date,advance_window,aircraft_type,frequency,effective_from,effective_to,source_file,search_status
Ghodawat Enterprises,S5 425,DIU,AMD,2026-10-07,T+30,EMB,24,31/03/2026,22/10/2026,Ghodawat EnterprisesPvtLtd_SS_2026.pdf,queued
Ghodawat Enterprises,S5 425,DIU,AMD,2026-10-22,T+45,EMB,24,31/03/2026,22/10/2026,Ghodawat EnterprisesPvtLtd_SS_2026.pdf,queued
Ghodawat Enterprises,S5 424,AMD,DIU,2026-09-08,T+1,EMB,24,31/03/2026,22/10/2026,Ghodawat EnterprisesPvtLtd_SS_2026.pdf,queued
Ghodawat Enterprises,S5 424,AMD,DIU,2026-09-14,T+7,EMB,24,31/03/2026,22/10/2026,Ghodawat EnterprisesPvtLtd_SS_2026.pdf,queued
Ghodawat Enterprises,S5 424,AMD,DIU,2026-09-22,T+15,EMB,24,31/03/2026,22/10/2026,Ghodawat EnterprisesPvtLtd_SS_2026.pdf,queued
Ghodawat Enterprises,S5 424,AMD,DIU,2026-10-07,T+30,EMB,24,31/03/2026,22/10/2026,Ghodawat EnterprisesPvtLtd_SS_2026.pdf,queued
Ghodawat Enterprises,S5 424,AMD,DIU,2026-10-22,T+45,EMB,24,31/03/2026,22/10/2026,Ghodawat EnterprisesPvtLtd_SS_2026.pdf,queued
Ghodawat Enterprises,S5 219,AMD,NDC,2026-09-08,T+1,EMB,146,30/03/2026,24/10/2026,Ghodawat EnterprisesPvtLtd_SS_2026.pdf,queued
Ghodawat Enterprises,S5 219,AMD,NDC,2026-09-14,T+7,EMB,146,30/03/2026,24/10/2026,Ghodawat EnterprisesPvtLtd_SS_2026.pdf,queued
Ghodawat Enterprises,S5 219,AMD,NDC,2026-09-22,T+15,EMB,146,30/03/2026,24/10/2026,Ghodawat EnterprisesPvtLtd_SS_2026.pdf,queued
Ghodawat Enterprises,S5 219,AMD,NDC,2026-10-07,T+30,EMB,146,30/03/2026,24/10/2026,Ghodawat EnterprisesPvtLtd_SS_2026.pdf,queued
Ghodawat Enterprises,S5 219,AMD,NDC,2026-10-22,T+45,EMB,146,30/03/2026,24/10/2026,Ghodawat EnterprisesPvtLtd_SS_2026.pdf,queued
Ghodawat Enterprises,S5 615,JGA,AMD,2026-09-08,T+1,EMB,1234567,29/03/2026,24/10/2026,Ghodawat EnterprisesPvtLtd_SS_2026.pdf,queued
Ghodawat Enterprises,S5 615,JGA,AMD,2026-09-14,T+7,EMB,1234567,29/03/2026,24/10/2026,Ghodawat EnterprisesPvtLtd_SS_2026.pdf,queued
