airline,flight_number,operator_code,aircraft_type,frequency,origin,destination,effective_from,effective_to,direction,source_file
Ghodawat Enterprises,S5 184,SDG,EMB,2,NDC,BLR,31/03/2026,20/10/2026,arrival,Ghodawat EnterprisesPvtLtd_SS_2026.pdf
Ghodawat Enterprises,S5 184,SDG,EMB,13457,NDC,BLR,29/03/2026,23/10/2026,arrival,Ghodawat EnterprisesPvtLtd_SS_2026.pdf
Ghodawat Enterprises,S5 156,SDG,EMB,4,HYD,BLR,02/04/2026,22/10/2026,arrival,Ghodawat EnterprisesPvtLtd_SS_2026.pdf
GSECMonarchandDeccanAviationPrivateLimited,I7 108,IOA,C 208B,1234567,IXW,CCU,29/03/2026,24/10/2026,arrival,GSECMonarchandDeccanAviationPrivateLimited_SS_2026.pdf
GSECMonarchandDeccanAviationPrivateLimited,I7 109,IOA,C 208B,1234567,CCU,COH,29/03/2026,24/10/2026,departure,GSECMonarchandDeccanAviationPrivateLimited_SS_2026.pdf
GSECMonarchandDeccanAviationPrivateLimited,I7 209,IOA,C 208B,1234567,COH,CCU,29/03/2026,24/10/2026,arrival,GSECMonarchandDeccanAviationPrivateLimited_SS_2026.pdf
GSECMonarchandDeccanAviationPrivateLimited,I7 208,IOA,C 208B,1234567,CCU,IXW,29/03/2026,24/10/2026,departure,GSECMonarchandDeccanAviationPrivateLimited_SS_2026.pdf
INTERGLOBE AVIATION LTD 2026,6E 7419,IGO,ATR 72,1234567,IXA,CCU,29/03/2026,24/10/2026,departure,INTERGLOBE AVIATION LTD_2026.pdf
INTERGLOBE AVIATION LTD 2026,6E 6746,IGO,A321,1357,HYD,IXA,29/03/2026,23/10/2026,arrival,INTERGLOBE AVIATION LTD_2026.pdf
INTERGLOBE AVIATION LTD 2026,6E 6068,IGO,A320N,1234567,CCU,IXA,29/03/2026,24/10/2026,arrival,INTERGLOBE AVIATION LTD_2026.pdf
INTERGLOBE AVIATION LTD 2026,6E 6747,IGO,A321,1357,IXA,HYD,29/03/2026,23/10/2026,departure,INTERGLOBE AVIATION LTD_2026.pdf
INTERGLOBE AVIATION LTD 2026,6E 491,IGO,A320N,1234567,IXA,CCU,29/03/2026,24/10/2026,departure,INTERGLOBE AVIATION LTD_2026.pdf
INTERGLOBE AVIATION LTD 2026,6E 6723,IGO,A321,1234567,GAU,IXA,29/03/2026,24/10/2026,arrival,INTERGLOBE AVIATION LTD_2026.pdf
INTERGLOBE AVIATION LTD 2026,6E 6211,IGO,A321,246,DEL,IXA,31/03/2026,24/10/2026,arrival,INTERGLOBE AVIATION LTD_2026.pdf
INTERGLOBE AVIATION LTD 2026,6E 6412,IGO,A320N,6,GAU,IXA,04/04/2026,24/10/2026,arrival,INTERGLOBE AVIATION LTD_2026.pdf
INTERGLOBE AVIATION LTD 2026,6E 6097,IGO,A320N,1234567,IXA,CCU,29/03/2026,24/10/2026,departure,INTERGLOBE AVIATION LTD_2026.pdf
INTERGLOBE AVIATION LTD 2026,6E 2516,IGO,A320N,6,IXA,CCU,04/04/2026,24/10/2026,departure,INTERGLOBE AVIATION LTD_2026.pdf
